iter	RMSE
0	363.0948382
1	361.7691274
2	360.705518
3	359.0330244
4	357.8531582
5	356.9454826
6	355.2853991
7	354.5351374
8	353.8853732
9	353.2970952
10	352.4540828
11	350.3951363
12	349.1940598
13	347.5868061
14	346.8962254
15	345.6865876
16	344.4262019
17	343.0108071
18	342.3671537
19	341.0868029
20	340.0893293
21	339.4580022
22	338.4348983
23	337.5211841
24	336.6351368
25	335.6406523
26	335.0873818
27	334.0396219
28	333.4249992
29	332.2594732
30	331.5374654
31	330.1136582
32	329.3634016
33	328.7910577
34	327.5059157
35	326.5398199
36	325.4697537
37	324.7722288
38	323.8267682
39	323.0710706
40	322.5456726
41	321.958962
42	321.2562584
43	319.9608025
44	319.3432432
45	318.6545875
46	317.666499
47	316.7728659
48	315.9884116
49	315.4359838
50	314.7286854
51	314.1540378
52	313.2352382
53	312.6557483
54	311.9487591
55	311.0501845
56	310.3979143
57	309.7394374
58	309.2794883
59	308.7106456
60	308.3437742
61	307.6746265
62	306.647136
63	306.2120535
64	305.654478
65	305.2087808
66	304.2622736
67	303.7665739
68	303.1038405
69	302.417783
70	301.9352349
71	301.2604916
72	300.5892978
73	299.8117635
74	299.0985419
75	298.2564114
76	297.5083787
77	296.6773732
78	296.2900652
79	296.0454499
80	295.3915646
81	295.1108746
82	294.3757478
83	293.9115731
84	293.5631316
85	292.9517679
86	292.4694461
87	291.6436751
88	291.3607651
89	290.9446476
90	290.7570052
91	290.279825
92	289.8441145
93	289.6062996
94	289.3785459
95	288.9714796
96	288.7015654
97	288.180744
98	287.8937827
99	287.6921647
100	287.1228268
101	286.9029883
102	286.5995166
103	286.3276242
104	286.1248571
105	285.8452771
106	285.5169819
107	285.2671713
108	284.9241713
109	284.4141607
110	284.1120937
111	283.856802
112	283.5201085
113	283.3177233
114	283.0874477
115	282.8003488
116	282.5205556
117	281.8383139
118	281.3988785
119	280.9504119
120	280.77496
121	280.5095821
122	280.3860995
123	279.915537
124	279.3985287
125	279.0278023
126	278.5466257
127	278.1452759
128	277.7872339
129	277.3754477
130	276.9260697
131	276.7111132
132	276.0253877
133	275.7595165
134	275.4924743
135	275.3417075
136	274.8735854
137	274.5914137
138	274.4605474
139	274.4024754
140	273.9851894
141	273.7862575
