name,oof_mean,delta_mean,wins,ic50
mord_w52,526.9415267146184,-0.008008171469327863,0,323.7892862556698
mord_w55,526.943873096454,-0.005661789633677472,1,323.7963254011768
mord_w50,526.9439399435137,-0.0055949425740967245,0,323.79652594235546
mord_w48,526.9495348860878,0.0,0,323.81331077007775
