name,oof_mean,delta_mean,min_delta,ic50,lgb_w
ref_lgb42,524.4165163423971,0.0,0.0,320.98077235953116,0.42
ratio_lgb38,524.4476753973642,0.031159054967019983,0.031159054967019983,321.07424952443256,0.38
ratio_all_lgb42,524.5767951635277,0.16027882113053238,0.16027882113053238,321.4616088229228,0.42
ratio_lgb42,524.6328313897939,0.21631504739673346,0.21631504739673346,321.62971750172164,0.42
ratio_bin_lgb42,524.7388123435471,0.32229600114999357,0.32229600114999357,321.9476603629814,0.42
ratio_both_lgb42,524.7578524246414,0.341336082244311,0.341336082244311,322.00478060626426,0.42
ratio_lgb45,524.7808820108172,0.3643656684200778,0.3643656684200778,322.07386936479145,0.45
