name,weight,oof_mean,delta_mean,min_delta,ic50
lgb_ic10,0.1,523.493032377539,0.09493206481022298,0.09493206481022298,318.210320464957
lgb_ic12,0.12,523.5231463298861,0.12504601715738772,0.12504601715738772,318.30066232199835
lgb_ic15,0.15,523.5752587681196,0.17715845539089514,0.17715845539089514,318.45699963669904
lgb_ic18,0.18,523.635689974291,0.23758966156231054,0.23758966156231054,318.6382932552131
lgb_ic20,0.2,523.6805920542158,0.28249174148709244,0.28249174148709244,318.7729994949874
lgb_ic22,0.22,523.7291804199576,0.3310801072288996,0.3310801072288996,318.91876459221277
lgb_ic25,0.25,523.8089636011315,0.41086328840276565,0.41086328840276565,319.1581141357347
lgb_ic28,0.28,523.8970108517594,0.49891053903070315,0.49891053903070315,319.42225588761823
lgb_ic30,0.3,523.9602901294644,0.5621898167356676,0.5621898167356676,319.6120937207334
