name,oof_mean,delta_mean,min_delta,ic50,cc50,si
cc50_fe_lgb55,523.9505296260132,-1.380251727070572,-1.380251727070572,323.72356739159164,460.2984846722484,787.8295368142
fe_v2_lgb55,524.9660724029756,-0.3647089501082519,-0.3647089501082519,322.6294405412665,464.4606349087003,787.8081417589598
ro5_w15,525.1970368573047,-0.13374449577906944,-0.13374449577906944,323.3223339042541,464.4606349087003,787.8081417589598
ro5_head_lgb55,525.2171373431042,-0.11364400997956636,-0.11364400997956636,323.38263536165266,464.4606349087003,787.8081417589598
ro5_w10,525.232385865101,-0.09839548798277065,-0.09839548798277065,323.42838092764293,464.4606349087003,787.8081417589598
combo_mord_ro5,525.2722793104912,-0.05850204259263592,-0.05850204259263592,323.5480612638133,464.4606349087003,787.8081417589598
ref_lgb55,525.3307813530838,0.0,0.0,323.72356739159164,464.4606349087003,787.8081417589598
fe_mord_w12,525.3893560995715,0.05857474648769312,0.05857474648769312,323.8992916310542,464.4606349087003,787.8081417589598
fe_mord_head_lgb55,525.4049978591452,0.07421650606136154,0.07421650606136154,323.94621690977556,464.4606349087003,787.8081417589598
fe_mord_w18,525.42103850761,0.09025715452617078,0.09025715452617078,323.9943388551698,464.4606349087003,787.8081417589598
