name,oof_mean,delta_mean,min_delta,ic50,cc50,si
si_meta_ridge,514.6227695313099,-8.59505636953702,-8.59505636953702,323.72356739159164,457.7195579659221,762.4251832364162
combo_knn_si_meta,514.6227695313099,-8.59505636953702,-8.59505636953702,323.72356739159164,457.7195579659221,762.4251832364162
si_meta_ridge_knn,514.6227695313099,-8.59505636953702,-8.59505636953702,323.72356739159164,457.7195579659221,762.4251832364162
si_meta_huber,521.9671486073559,-1.2506772934910941,-1.2506772934910941,323.72356739159164,457.7195579659221,784.4583204645537
cc50_knn_k4,523.1074678433807,-0.11035805746621463,-0.11035805746621463,323.72356739159164,457.38872651492625,788.2101096236242
cc50_knn_cat_w30,523.1779365016828,-0.039889399164167116,-0.039889399164167116,323.72356739159164,457.59929106313535,788.2109510503215
cc50_knn_only,523.217825900847,0.0,0.0,323.72356739159164,457.7195579659221,788.2103523450271
ref_si_a32,523.217825900847,0.0,0.0,323.72356739159164,457.7195579659221,788.2103523450271
si_a31_knn,523.2601921480951,0.04236624724819649,0.04236624724819649,323.72356739159164,457.7195579659221,788.3374510867716
cc50_knn_cat_w26,523.2790187643077,0.061192863460746594,0.061192863460746594,323.72356739159164,457.9037283206729,788.2097605806586
cc50_knn_k5,525.1016066504754,1.8837807496284995,1.8837807496284995,323.72356739159164,463.3825742278291,788.1986783320059
cc50_knn_k2,525.6251087553327,2.407282854485743,2.407282854485743,323.72356739159164,464.95881870308483,788.1929401713214
combo_physchem_si_meta_knn,526.6497304177504,3.4319045169035007,3.4319045169035007,323.72356739159164,495.0236320087243,761.2019918529355
combo_knn_physchem_si_meta,526.6497304177504,3.4319045169035007,3.4319045169035007,323.72356739159164,495.0236320087243,761.2019918529355
si_meta_ridge_physchem,526.6497304177504,3.4319045169035007,3.4319045169035007,323.72356739159164,495.0236320087243,761.2019918529355
cc50_trans_physchem_cc50fe_knn,528.4403911962064,5.222565295359459,5.222565295359459,323.72356739159164,473.3673423665504,788.2302638304773
cc50_trans_physchem_cc50fe,528.4403911962064,5.222565295359459,5.222565295359459,323.72356739159164,473.3673423665504,788.2302638304773
cc50_trans_physchem_only,534.2883231849243,11.070497284077305,11.070497284077305,323.72356739159164,490.90769990669895,788.2337022564822
si_meta_huber_physchem,534.4019268547282,11.184100953881284,11.184100953881284,323.72356739159164,495.0236320087243,784.458581163869
cc50_trans_physchem_k4,535.2511536875786,12.033327786731661,12.033327786731661,323.72356739159164,493.8377146834539,788.1921789876905
cc50_trans_physchem_knn,535.653098589964,12.435272689117028,12.435272689117028,323.72356739159164,495.0236320087243,788.2120963695761
cc50_trans_physchem,535.653098589964,12.435272689117028,12.435272689117028,323.72356739159164,495.0236320087243,788.2120963695761
combo_knn_physchem,535.653098589964,12.435272689117028,12.435272689117028,323.72356739159164,495.0236320087243,788.2120963695761
si_a30_knn_physchem,535.7380351042275,12.520209203380546,12.520209203380546,323.72356739159164,495.0236320087243,788.4669059123667
si_a30_physchem,535.7380351042275,12.520209203380546,12.520209203380546,323.72356739159164,495.0236320087243,788.4669059123667
cc50_trans_physchem_k2,540.0935695502241,16.875743649377114,16.875743649377114,323.72356739159164,508.38229174534666,788.174849513734
