name,seed,oof,delta,ic50,cc50,si
full_cb15,42,523.4582857802081,-0.18222807044799083,318.15708772523374,464.3964371093307,787.82133250606
full_cb15,2024,527.5614801325792,0.013103405226615905,328.7416051542476,467.11599880844045,786.8268364350496
full_cb15,7,528.1604882730336,0.021636960206365075,323.8437557854549,473.6514299421134,786.9862790915327
full_cb20,42,523.4152541832395,-0.2252596674165943,318.0279929343278,464.3964371093307,787.82133250606
full_cb20,2024,527.5818874820135,0.03351075466093789,328.80282720255036,467.11599880844045,786.8268364350496
full_cb20,7,528.1842135678434,0.04536225501612989,323.914931669884,473.6514299421134,786.9862790915327
full_cb25,42,523.3810979619724,-0.25941588868374765,317.9255242705263,464.3964371093307,787.82133250606
full_cb25,2024,527.6103086076333,0.061931880280781115,328.88809057941023,467.11599880844045,786.8268364350496
full_cb25,7,528.2161878594042,0.07733654657693023,324.0108545445663,473.6514299421134,786.9862790915327
pic50_ext,42,522.5643439040665,-1.07616994658963,320.4890429445187,464.3964371093307,782.8075516583503
pic50_ext,2024,525.9431123523412,-1.605264375011302,329.76667374690004,467.11599880844045,780.9466645016831
pic50_ext,7,526.9978204266394,-1.1410308861878775,325.6482745778521,473.6514299421134,781.6937567599527
ext_multiseed,42,523.6158348643023,-0.02467898635381971,318.68919093457123,464.3964371093307,787.761876549005
ext_multiseed,2024,527.5682431815445,0.01986645419196975,328.6467376801766,467.11599880844045,786.9419930560167
ext_multiseed,7,528.1616840997078,0.022832786880599087,323.8831225636461,473.6514299421134,786.950499793364
pic50_fr,42,524.0515733852532,0.4110595345970296,319.93695054036874,464.3964371093307,787.82133250606
pic50_fr,2024,527.2987746559415,-0.24960207141100454,327.9534887243347,467.11599880844045,786.8268364350496
pic50_fr,7,528.257261371144,0.11841005831672646,324.13407507978565,473.6514299421134,786.9862790915327
vsa_w15,42,523.6865114826782,0.04599763202202212,318.8417648326439,464.3964371093307,787.82133250606
vsa_w15,2024,527.7610465820234,0.21266985467082122,329.34030450257995,467.11599880844045,786.8268364350496
vsa_w15,7,527.980908414534,-0.15794289829318586,323.305016209956,473.6514299421134,786.9862790915327
vsa_w20,42,523.7297921870662,0.0892783364100751,318.9716069458078,464.3964371093307,787.82133250606
vsa_w20,2024,527.8594204119112,0.3110436845586264,329.6354259922434,467.11599880844045,786.8268364350496
vsa_w20,7,527.9558622542612,-0.18298905856602232,323.2298777291374,473.6514299421134,786.9862790915327
pic50_ext_full20,42,522.0895377809277,-1.5509760697284491,319.0646245751021,464.3964371093307,782.8075516583503
pic50_ext_full20,2024,525.781778616615,-1.7665981107375046,329.28267253972166,467.11599880844045,780.9466645016831
pic50_ext_full20,7,526.7965144487326,-1.342336864094591,325.04435664413177,473.6514299421134,781.6937567599527
full25_pic50,42,524.4601226287259,0.819608778069778,321.1625982707869,464.3964371093307,787.82133250606
full25_pic50,2024,527.4703078382249,-0.07806888912762133,328.4680882711846,467.11599880844045,786.8268364350496
full25_pic50,7,528.4954173704438,0.3565660576165328,324.84854307768506,473.6514299421134,786.9862790915327
