name,oof_mean,delta_mean,wins,ic50,cc50,si
ic50_mordred_w35,527.0633913885604,-0.9693344199400448,3,324.1548802774957,469.83083016880124,787.2044637193843
ic50_mordred_w30,527.1428824702717,-0.8898433382286536,3,324.3933535226297,469.83083016880124,787.2044637193843
ic50_mordred_w25,527.2421450647524,-0.7905807437480235,3,324.69114130607176,469.83083016880124,787.2044637193843
fr42_mord25,527.2421450647524,-0.7905807437480235,3,324.69114130607176,469.83083016880124,787.2044637193843
fr35_mord25,527.2421450647524,-0.7905807437480235,3,324.69114130607176,469.83083016880124,787.2044637193843
fr42_mord20,527.3611237601227,-0.6716020483777356,3,325.04807739218245,469.83083016880124,787.2044637193843
fr35_mord20,527.3611237601227,-0.6716020483777356,3,325.04807739218245,469.83083016880124,787.2044637193843
ic50_mordred_w20,527.3611237601227,-0.6716020483777356,3,325.04807739218245,469.83083016880124,787.2044637193843
ic50_mordred_w15,527.4997525872485,-0.5329732212518744,3,325.4639638735601,469.83083016880124,787.2044637193843
fr35_mord15,527.4997525872485,-0.5329732212518744,3,325.4639638735601,469.83083016880124,787.2044637193843
fr42_mord15,527.4997525872485,-0.5329732212518744,3,325.4639638735601,469.83083016880124,787.2044637193843
cc_k4_b70,527.8759956725943,-0.15673013590617302,1,327.0628835373159,469.4252908449753,787.1398126354916
ic50_morgan_w15,527.9134963699915,-0.11922943850887198,1,326.7051952217891,469.83083016880124,787.2044637193843
ic50_morgan_w20,527.9147475262612,-0.11797828223927809,1,326.7089486905979,469.83083016880124,787.2044637193843
ic50_morgan_w25,527.9365069032297,-0.09621890527080268,1,326.7742268215033,469.83083016880124,787.2044637193843
cc_k4_b65,527.9541191194336,-0.07860668906675983,1,327.0628835373159,469.65250540422085,787.1469684167641
ic50_morgan_w30,527.9787638434326,-0.053961965067818106,1,326.9009976421123,469.83083016880124,787.2044637193843
ic50_morgan_w35,528.0414961769872,0.00877036848669377,1,327.08919464277596,469.83083016880124,787.2044637193843
cc_k2_b55,528.3761053060935,0.34337949759306713,2,327.0628835373159,470.98333398043974,787.0820984005248
cc_k4_b55,528.3856222568671,0.3528964483667778,1,327.0628835373159,470.93259697977936,787.1613862535063
cc_k2_b65,528.3973572051559,0.3646313966554923,2,327.0628835373159,471.0759856232032,787.0532024549485
cc_k2_b70,528.597788463528,0.565062655027532,2,327.0628835373159,471.69168139434413,787.0388004589239
cc_k5_b70,530.1512862740786,2.1185604655782604,0,327.0628835373159,476.25069540632126,787.1402798785988
cc_k5_b65,530.1762802412612,2.143554432760728,0,327.0628835373159,476.31839570412654,787.1475614823412
cc_k5_b55,530.447739571273,2.41501376277256,0,327.0628835373159,477.118177690755,787.162157485748
