name,oof_mean,delta_mean,min_delta,wins,ic50,si
i_vsa_w15,523.5152185963062,0.1171182835774971,0.1171182835774971,0,318.2768791212587,787.8081417589598
lgb_ic15,523.5752587681196,0.17715845539089514,0.17715845539089514,0,318.45699963669904,787.8081417589598
i_vsa_w20,523.579711703344,0.1816113906152168,0.1816113906152168,0,318.4703584423716,787.8081417589598
lgb_ic20,523.6805920542158,0.28249174148709244,0.28249174148709244,0,318.7729994949874,787.8081417589598
h_vsa_w15,523.7035138334346,0.30541352070588346,0.30541352070588346,0,318.8417648326439,787.8081417589598
lgb_ic25,523.8089636011315,0.41086328840276565,0.41086328840276565,0,319.1581141357347,787.8081417589598
