candidate,oof_mean,delta_mean,delta_min,wins,rmse_ic50,rmse_cc50,rmse_si
si_a45,532.7141141863563,-0.41385403978533003,-0.4478276775322456,3,342.8517441920271,469.79722008155835,785.4933782854832
si_a42,532.836589234369,-0.2913789917726414,-0.3153777029166349,3,342.8517441920271,469.79722008155835,785.8608034295213
si_rw15,532.8987162513494,-0.2292519747922294,-0.23699207847187154,3,342.8517441920271,469.79722008155835,786.0471844804628
si_a40,532.9190404545961,-0.20892777154540454,-0.22617298256329832,3,342.8517441920271,469.79722008155835,786.108157090203
si_rw20,532.9743010220147,-0.15366720412684268,-0.15896788855593513,3,342.8517441920271,469.79722008155835,786.2739387924588
si_a40_rw35,533.0063405385857,-0.12162768755592879,-0.1359157340893944,3,342.8517441920271,469.79722008155835,786.3700573421715
si_a37,533.0439175482087,-0.0840506779328886,-0.09101064402614156,3,342.8517441920271,469.79722008155835,786.4827883710406
si_rw25,533.0507185902413,-0.07724963590025406,-0.07997023570499096,3,342.8517441920271,469.79722008155835,786.5031914971383
si_a37_rw35,533.125744698545,-0.002223527596584063,-0.006274567196328462,0,342.8517441920271,469.79722008155835,786.7282698220496
si_a35,533.1279682261415,0.0,0.0,0,342.8517441920271,469.79722008155835,786.7349404048392
si_rw30,533.1279682261415,0.0,0.0,0,342.8517441920271,469.79722008155835,786.7349404048392
si_a33_rw25,533.1391391849071,0.011170958765508962,0.008367656976361104,0,342.8517441920271,469.79722008155835,786.7684532811359
si_a32_rw25,533.183620085487,0.055651859345402954,0.049045209903056275,0,342.8517441920271,469.79722008155835,786.9018959828754
si_a30_rw20,533.2059673425578,0.07799911641620838,0.06790515563307054,0,342.8517441920271,469.79722008155835,786.968937754088
si_rw35,533.2060491926553,0.07808096651376673,0.07324252243847695,0,342.8517441920271,469.79722008155835,786.9691833043804
si_a33,533.2126576100136,0.08468938387200826,0.07733985942491017,0,342.8517441920271,469.79722008155835,786.9890085564554
si_a32,533.2552416226489,0.1272733965072348,0.11623830176927186,0,342.8517441920271,469.79722008155835,787.116760594361
si_rw40,533.2849607455838,0.15699251944219364,0.14725524671018775,0,342.8517441920271,469.79722008155835,787.2059179631659
si_a30,533.3408878991373,0.21291967299578118,0.1944918732735914,0,342.8517441920271,469.79722008155835,787.3736994238267
si_rw45,533.3647021336243,0.23673390748274414,0.22203752173243174,0,342.8517441920271,469.79722008155835,787.4451421272875
si_a28,533.4271713208581,0.29920309471644185,0.27335390665007253,0,342.8517441920271,469.79722008155835,787.6325496889885
si_rw50,533.4452725984053,0.3173043722637203,0.29758869039733327,0,342.8517441920271,469.79722008155835,787.6868535216304
