name,full_cb_w,seed,oof,delta,ic50
fcb18_lgb55,0.18,42,525.3067839581304,-0.02399739495342601,323.65157520673125
fcb20_lgb55,0.2,42,525.3132871496167,-0.01749420346709485,323.67108478118985
fcb22_lgb55,0.22,42,525.3200729335554,-0.010708419528441482,323.69144213300603
fcb25_lgb55,0.25,42,525.3307813530838,0.0,323.72356739159164
fcb28_lgb55,0.28,42,525.3421252959184,0.011343942834628251,323.7575992200955
fcb30_lgb55,0.3,42,525.35004089448,0.019259541396195345,323.78134601577983
