name,seed,oof,delta,ic50,cc50,si
ref_cb_fe,42,523.1915426869579,0.0,323.72356739159164,458.0197542476811,787.8313064216009
cc50_cat_w15,42,523.8688012071748,0.6772585202169239,323.72356739159164,460.0541711588929,787.8286650710396
cc50_cat_w18,42,523.6101716138413,0.4186289268834571,323.72356739159164,459.27750662967446,787.829440820258
cc50_cat_w20,42,523.4640968045073,0.27255411754947545,323.72356739159164,458.8387571041089,787.8299659178215
cc50_cat_w22,42,523.3391697889898,0.1476271020319473,323.72356739159164,458.46344461487297,787.8304973605049
cc50_cat_w28,42,523.0917517055523,-0.09979098140559017,323.72356739159164,457.7195579659221,787.8321297591432
cc50_cat_w30,42,523.0518483456341,-0.139694341323775,323.72356739159164,457.59929106313535,787.8326865821751
cc50_cat_w35,42,523.0453799940739,-0.14616269288399053,323.72356739159164,457.57846619129407,787.8341063993357
cb_fe_blend_w68,42,523.2257218709975,0.03417918403965814,323.72356739159164,458.1227625691323,787.8308356522684
cb_fe_blend_w69,42,523.2063876453004,0.014844958342564496,323.72356739159164,458.06452515048375,787.831070393826
cb_fe_cat_w20_w68,42,523.4627465633309,0.27120387637307886,323.72356739159164,458.8352205267281,787.8294517716731
