name,oof_mean,delta_mean,min_delta,ic50,cc50,si
cc50_cb_fe,523.1915426869579,-0.41256703921089866,-0.41256703921089866,323.72356739159164,458.0197542476811,787.8313064216009
lgb_w52,523.430074995652,-0.17403473051672336,-0.17403473051672336,323.2014632000416,459.25692092518966,787.8318408617249
cc50_all_fe,523.5216324119375,-0.08247731423125515,-0.08247731423125515,323.6048948641777,459.1489222817718,787.8110800898631
full_cb_w22,523.5934013066402,-0.010708419528555169,-0.010708419528555169,323.69144213300603,459.25692092518966,787.8318408617249
ic50_trans_w05,523.6025130762589,-0.001596649909856751,-0.001596649909856751,323.7353067832208,459.25692092518966,787.8153115203663
ref_w70,523.6041097261688,0.0,0.0,323.72356739159164,459.25692092518966,787.8318408617249
cc50_blend_w69,523.6186323204078,0.014522594238997044,0.014522594238997044,323.72356739159164,459.3007249006457,787.8316046689857
cc50_blend_w68,523.6376321734746,0.03352244730581333,0.03352244730581333,323.72356739159164,459.3579593663691,787.8313697624627
si_a33,523.6879800720395,0.08387034587076414,0.08387034587076414,323.72356739159164,459.25692092518966,788.0834518993372
cc50_clust_fe,523.9390462166983,0.33493649052957153,0.33493649052957153,323.6048948641777,460.4006306568153,787.8116131291019
cc50_pca_n30,529.0894597511661,5.485350024997388,5.485350024997388,323.72356739159164,475.70703062995966,787.8377812319474
cc50_pca_n10,529.268687564394,5.664577838225227,5.664577838225227,323.72356739159164,476.48327634479296,787.5992189567975
