name,oof_mean,delta_mean,delta_min,wins,si_rmse,ic50_rmse,cc50_rmse
si_ratio_morgan_w15,527.7780033360967,-0.2547224724037657,-0.266573211819491,3,786.4402963021727,327.0628835373159,469.83083016880124
si_ratio_fr_only_w25,527.8000868106124,-0.2326389978881025,-0.27417659530976835,3,786.5065467257197,327.0628835373159,469.83083016880124
si_fr_only_w25,527.8000868106124,-0.2326389978881025,-0.27417659530976835,3,786.5065467257197,327.0628835373159,469.83083016880124
si_ratio_fr_only_w20,527.845417246781,-0.18730856171941923,-0.22032449153448397,3,786.6425380342258,327.0628835373159,469.83083016880124
si_fr_only_w20,527.845417246781,-0.18730856171941923,-0.22032449153448397,3,786.6425380342258,327.0628835373159,469.83083016880124
si_ratio_fr_only_w15,527.8913466688533,-0.14137913964714244,-0.16598047295462948,3,786.7803263004427,327.0628835373159,469.83083016880124
si_fr_only_w15,527.8913466688533,-0.14137913964714244,-0.16598047295462948,3,786.7803263004427,327.0628835373159,469.83083016880124
si_abs_extra_w20,528.0779313550721,0.045205546571727005,0.030000131543374664,0,787.3400803590994,327.0628835373159,469.83083016880124
si_abs_extra_w30,528.1032888261698,0.07056301766931483,0.04733958965312013,0,787.4161527723921,327.0628835373159,469.83083016880124
si_quantile_w20,528.1071938837923,0.07446807529197486,0.04316285130380493,0,787.42786794526,327.0628835373159,469.83083016880124
si_abs_extra_w40,528.13048205152,0.09775624301952728,0.06623823960137543,0,787.4977324484429,327.0628835373159,469.83083016880124
si_quantile_w30,528.1473360654131,0.11461025691266968,0.06694723120540402,0,787.548294490122,327.0628835373159,469.83083016880124
si_quantile_w40,528.1894157364728,0.1566899279724415,0.09219972360313022,0,787.6745335033015,327.0628835373159,469.83083016880124
